SampleClass,AgencyCode,StationNumber,RiverSubBasinCode,StationType,StationNameDescription,StationComment,LatitudeDecimalDegrees,LongitudeDecimalDegrees,SampleMatrixCodeDescription,TotalSampleCount,EarliestSample,PriorTo1970,During1970_79,During1980_89,During1990_99,During2000_2009,During2010_2019,TWO_THOUSAND_TWENTIES,MostRecentSampleDate,Inorganics_ions_physicals_nutrients_bacteria,Metals,Pesticides,Organics_No_Pesticides,AGG_ID,Elevation,Slope,LC_1km,LC_5km
A,211,AB05CD1030,05CD,1 (LAKE),BUFFALO LAKE (NEAR BASHAW) MAIN BASIN PROFILE AT CENTRE,,52.47335,-112.86478,0 (WATER),919,20-Aug-84,0,0,42,420,219,189,49,20-Sep-22,730,2,0,0,4840,781.1199951,0.006327705,,11
A,211,AB05CD1040,05CD,1 (LAKE),BUFFALO LAKE (NEAR BASHAW) MAIN BASIN COMPOSITE,,52.47335,-112.86478,0 (WATER),112,29-May-84,0,0,32,40,18,18,4,20-Sep-22,102,2,0,0,4840,781.1199951,0.006327705,,11
A,211,AB05FB0090,05FB,1 (LAKE),HARDISTY LAKE COMPOSITE,,52.6675,-111.32278,0 (WATER),19,04-Jun-96,0,0,0,5,0,10,4,01-Sep-21,17,3,0,0,4840,619.7408447,0.13782911,8,8
A,211,AB05FB0100,05FB,1 (LAKE),HARDISTY LAKE PROFILE,,52.6675,-111.32278,0 (WATER),118,11-Aug-96,0,0,0,8,0,71,39,01-Sep-21,118,1,0,0,4840,619.7408447,0.13782911,8,8
A,211,AB05FC0051,05FC,0 (RIVER OR STREAM),RED WILLOW CREEK 4.3 KM U/S OF STETTLER WWTF,,52.32647,-112.73253,0 (WATER),1,21-Sep-21,0,0,0,0,0,0,1,21-Sep-21,1,0,0,0,4840,814.5599365,0.386963636,12,12
A,211,AB05FC0052,05FC,0 (RIVER OR STREAM),RED WILLOW CREEK 1 KM D/S OF STETTLER WWTF AT RR 200,,52.35646,-112.73935,0 (WATER),1,21-Sep-21,0,0,0,0,0,0,1,21-Sep-21,1,0,0,0,4840,811.0708618,0.642994165,12,12
A,211,AB05FC0053,05FC,0 (RIVER OR STREAM),RED WILLOW CREEK 8.5 KM D/S OF STETTLER WWTF AT RR 193,,52.36628,-112.6676,0 (WATER),1,21-Sep-21,0,0,0,0,0,0,1,21-Sep-21,1,0,0,0,4840,792.755127,0.245241463,8,12
A,211,AB05FC0054,05FC,0 (RIVER OR STREAM),RED WILLOW CREEK AT HWY 850,,52.39825,-112.57227,0 (WATER),1,21-Sep-21,0,0,0,0,0,0,1,21-Sep-21,1,0,0,0,4840,777.4580078,0.750058353,12,12
A,211,AB05FD0030,05FD,1 (LAKE),SHORNCLIFFE LAKE COMPOSITE,,52.46944,-110.8675,0 (WATER),32,07-May-92,0,0,0,16,6,10,0,04-Sep-18,32,0,0,0,4840,673.8804932,0.01899921,8,8
A,211,AB05FD0040,05FD,1 (LAKE),SHORNCLIFFE LAKE PROFILE,,52.46944,-110.8675,0 (WATER),139,17-Aug-92,0,0,0,19,43,77,0,04-Sep-18,114,0,0,0,4840,673.8804932,0.01899921,8,8
