StationNumber,Latitude,Longitude,SampleDatetime,RiverSubBasinCode,100923 PH (FIELD) pH units,80558 OXYGEN DISSOLVED (FIELD METER) mg/L,100924 SPECIFIC CONDUCTANCE (FIELD) uS/cm,100925 TEMPERATURE WATER deg C,Year,Month,Elevation,Slope,LC_1km,LC_5km,NDVI,Temperature,Precipitation,RP_count
AB07AD0100,53.36883,-117.72562,2018-04-10 13:45:00,07AD,7.93,12.08,447.8,-0.01,2018,4,968.2740479,7.371900082,9.0,9.0,-0.049,5.7,1.2,0
AB07DD0010,58.38278,-111.51778,2018-04-17 08:15:00,07DD,7.36,11.24,435.0,-0.01,2018,4,221.0250397,1.331387877,9.0,10.0,0.03,-3.2,30.6,0
AB07DD0010,58.38278,-111.51778,2018-04-17 08:15:00,07DD,7.36,11.24,435.0,-0.01,2018,4,221.0250397,1.331387877,9.0,10.0,0.03,-5.6,6.5,0
AB07BE0010,54.72222,-113.28611,2018-04-11 10:40:00,07BE,7.56,9.54,413.9,-0.19,2018,4,510.3901062,1.253601551,9.0,10.0,-0.049,1.0,10.7,0
AB07BD0010,54.43222,-114.48333,2018-04-17 10:35:00,07BD,7.38,11.31,458.6,-0.06,2018,4,580.3129883,0.200420573,10.0,11.0,0.03,1.0,16.6,0
AB07DA0980,57.72361,-111.37917,2018-04-17 09:30:00,07DA,7.45,12.11,426.0,-0.01,2018,4,223.291153,0.186179221,6.0,6.0,0.03,1.1,6.1,0
AB07CC0030,56.72028,-111.40556,2018-04-16 12:50:00,07CC,7.57,12.87,424.5,0.01,2018,4,240.5357361,2.6102705,4.0,10.0,0.03,-0.3,0.0,0
AB05FA0060,52.65881,-113.67508,2018-04-26 10:00:00,05FA,7.39,7.73,300.8,8.27,2018,4,804.4741211,0.64455384,9.0,12.0,0.093,0.9,17.2,0
AB05FA0340,52.93736,-112.84861,2018-04-26 11:30:00,05FA,7.25,6.93,418.5,7.82,2018,4,683.4337158,0.636118114,11.0,12.0,0.072,3.3,11.7,0
AB05CA0045,51.80198,-114.66324,2018-04-17 10:45:00,05CA,7.73,11.04,513.0,1.89,2018,4,1105.551392,0.151217431,8.0,8.0,-0.016,-0.6,22.2,12
AB05AB0100,49.63926,-113.79526,2018-04-24 09:55:00,05AB,8.32,11.41,526.0,5.65,2018,4,1092.840088,1.027666211,8.0,8.0,0.051,1.8,23.8,0
AB06AD0130,54.25139,-110.02972,2018-04-24 11:00:00,06AD,7.27,9.2,256.1,0.45,2018,4,491.5502319,0.449382424,10.0,8.0,0.112,0.7,44.0,0
AB05AD0070,49.47882,-113.30135,2018-04-24 11:20:00,05AD,8.51,11.7,498.0,9.46,2018,4,980.2529907,1.081493616,8.0,12.0,0.051,2.4,23.6,0
