StationNumber,Latitude,Longitude,SampleDatetime,RiverSubBasinCode,100923 PH (FIELD) pH units,80558 OXYGEN DISSOLVED (FIELD METER) mg/L,100924 SPECIFIC CONDUCTANCE (FIELD) uS/cm,100925 TEMPERATURE WATER deg C,Year,Month,Elevation,Slope,LC_1km,LC_5km,NDVI,Temperature,Precipitation,RP_count
AB07BB0310,53.88431,-114.21019,2018-05-22 11:22:10,07BB,8.6,9.58,404.2,18.1,2018,5,686.2337036,0.00019792,10.0,11.0,0.314,13.9,15.9,0
AB07BB0310,53.88431,-114.21019,2018-05-22 11:23:50,07BB,8.63,9.93,399.9,16.44,2018,5,686.2337036,0.00019792,10.0,11.0,0.314,13.9,15.9,0
AB07BB0310,53.88431,-114.21019,2018-05-22 11:27:51,07BB,8.62,10.02,399.8,16.24,2018,5,686.2337036,0.00019792,10.0,11.0,0.314,13.9,15.9,0
AB07BB0310,53.88431,-114.21019,2018-05-22 11:33:33,07BB,8.59,10.13,399.7,16.16,2018,5,686.2337036,0.00019792,10.0,11.0,0.314,13.9,15.9,0
AB07BB0310,53.88431,-114.21019,2018-05-22 11:39:15,07BB,8.44,9.31,400.5,15.25,2018,5,686.2337036,0.00019792,10.0,11.0,0.314,13.9,15.9,0
AB07BB0310,53.88431,-114.21019,2018-05-22 11:44:57,07BB,8.22,8.68,400.6,13.65,2018,5,686.2337036,0.00019792,10.0,11.0,0.314,13.9,15.9,0
AB07BB0310,53.88431,-114.21019,2018-05-22 11:50:39,07BB,7.57,3.94,404.5,10.97,2018,5,686.2337036,0.00019792,10.0,11.0,0.314,13.9,15.9,0
AB07BB0310,53.88431,-114.21019,2018-05-22 11:53:30,07BB,7.41,1.07,408.0,9.87,2018,5,686.2337036,0.00019792,10.0,11.0,0.314,13.9,15.9,0
AB07BB0310,53.88431,-114.21019,2018-05-22 11:56:21,07BB,7.25,0.14,409.6,9.66,2018,5,686.2337036,0.00019792,10.0,11.0,0.314,13.9,15.9,0
AB07BB0310,53.88431,-114.21019,2018-05-22 11:59:12,07BB,7.21,0.0,409.8,9.63,2018,5,686.2337036,0.00019792,10.0,11.0,0.314,13.9,15.9,0
AB06AA0240,54.725,-111.83333,2018-06-14 10:14:00,06AA,8.4,9.11,590.0,15.3,2018,6,558.5449829,0.000687424,10.0,10.0,0.475,15.6,118.8,0
AB06AA0240,54.725,-111.83333,2018-06-14 10:15:00,06AA,8.4,9.1,590.0,15.32,2018,6,558.5449829,0.000687424,10.0,10.0,0.475,15.6,118.8,0
AB06AA0240,54.725,-111.83333,2018-06-14 10:16:00,06AA,8.4,9.11,590.0,15.31,2018,6,558.5449829,0.000687424,10.0,10.0,0.475,15.6,118.8,0
AB06AA0240,54.725,-111.83333,2018-06-14 10:17:00,06AA,8.4,9.1,590.0,15.31,2018,6,558.5449829,0.000687424,10.0,10.0,0.475,15.6,118.8,0
AB06AA0240,54.725,-111.83333,2018-06-14 10:18:00,06AA,8.39,9.11,590.0,15.3,2018,6,558.5449829,0.000687424,10.0,10.0,0.475,15.6,118.8,0
AB06AA0240,54.725,-111.83333,2018-06-14 10:19:00,06AA,8.39,9.1,590.0,15.28,2018,6,558.5449829,0.000687424,10.0,10.0,0.475,15.6,118.8,0
AB06AA0240,54.725,-111.83333,2018-06-14 10:20:00,06AA,8.39,9.1,590.0,15.25,2018,6,558.5449829,0.000687424,10.0,10.0,0.475,15.6,118.8,0
AB06AA0240,54.725,-111.83333,2018-06-14 10:21:00,06AA,8.38,9.04,590.0,15.25,2018,6,558.5449829,0.000687424,10.0,10.0,0.475,15.6,118.8,0
AB06AA0240,54.725,-111.83333,2018-06-14 10:22:00,06AA,8.38,9.02,590.0,15.24,2018,6,558.5449829,0.000687424,10.0,10.0,0.475,15.6,118.8,0
AB06AA0240,54.725,-111.83333,2018-06-14 10:23:00,06AA,8.38,9.07,590.0,15.25,2018,6,558.5449829,0.000687424,10.0,10.0,0.475,15.6,118.8,0
AB06AA0240,54.725,-111.83333,2018-06-14 10:24:00,06AA,8.38,9.02,590.0,15.24,2018,6,558.5449829,0.000687424,10.0,10.0,0.475,15.6,118.8,0
AB06AA0240,54.725,-111.83333,2018-06-14 10:25:00,06AA,8.38,9.02,589.0,15.23,2018,6,558.5449829,0.000687424,10.0,10.0,0.475,15.6,118.8,0
AB06AA0240,54.725,-111.83333,2018-06-14 10:26:00,06AA,8.37,8.93,590.0,15.21,2018,6,558.5449829,0.000687424,10.0,10.0,0.475,15.6,118.8,0
AB06AA0240,54.725,-111.83333,2018-06-14 10:27:00,06AA,8.33,8.44,590.0,15.05,2018,6,558.5449829,0.000687424,10.0,10.0,0.475,15.6,118.8,0
AB06AA0240,54.725,-111.83333,2018-06-14 10:28:00,06AA,8.32,8.28,589.0,14.95,2018,6,558.5449829,0.000687424,10.0,10.0,0.475,15.6,118.8,0
AB06AA0240,54.725,-111.83333,2018-06-14 10:29:00,06AA,8.3,7.96,589.0,14.87,2018,6,558.5449829,0.000687424,10.0,10.0,0.475,15.6,118.8,0
AB06AA0240,54.725,-111.83333,2018-06-14 10:30:00,06AA,8.3,7.95,589.0,14.73,2018,6,558.5449829,0.000687424,10.0,10.0,0.475,15.6,118.8,0
AB06AA0240,54.725,-111.83333,2018-06-14 10:31:00,06AA,8.27,7.66,589.0,14.67,2018,6,558.5449829,0.000687424,10.0,10.0,0.475,15.6,118.8,0
AB06AA0240,54.725,-111.83333,2018-06-14 10:32:00,06AA,8.15,5.43,586.0,14.67,2018,6,558.5449829,0.000687424,10.0,10.0,0.475,15.6,118.8,0
AB05CC2145,52.38833,-113.72139,2018-06-28 08:10:00,05CC,8.74,10.96,786.0,20.66,2018,6,840.0541382,1.063135862,12.0,12.0,0.592,14.6,53.6,1
AB05CC2145,52.38833,-113.72139,2018-06-28 08:11:00,05CC,8.76,11.21,786.0,20.74,2018,6,840.0541382,1.063135862,12.0,12.0,0.592,14.6,53.6,1
AB05CC2145,52.38833,-113.72139,2018-06-28 08:12:00,05CC,8.72,8.16,790.0,20.47,2018,6,840.0541382,1.063135862,12.0,12.0,0.592,14.6,53.6,1
