StationNumber,Latitude,Longitude,SampleDatetime,RiverSubBasinCode,100923 PH (FIELD) pH units,80558 OXYGEN DISSOLVED (FIELD METER) mg/L,100924 SPECIFIC CONDUCTANCE (FIELD) uS/cm,100925 TEMPERATURE WATER deg C,Year,Month,Elevation,Slope,LC_5km,NDVI,Temperature,Precipitation,RP_count
AB07AD0100,53.36883,-117.72562,2018-04-10 13:45:00,07AD,7.93,12.08,447.8,-0.01,2018,4,968.2740479,7.371900082,9.0,-0.049,5.7,1.2,0
AB07DD0010,58.38278,-111.51778,2018-04-17 08:15:00,07DD,7.36,11.24,435.0,-0.01,2018,4,221.0250397,1.331387877,10.0,0.03,-3.2,30.6,0
AB07DD0010,58.38278,-111.51778,2018-04-17 08:15:00,07DD,7.36,11.24,435.0,-0.01,2018,4,221.0250397,1.331387877,10.0,0.03,-5.6,6.5,0
AB07BE0010,54.72222,-113.28611,2018-04-11 10:40:00,07BE,7.56,9.54,413.9,-0.19,2018,4,510.3901062,1.253601551,10.0,-0.049,1.0,10.7,0
AB07BD0010,54.43222,-114.48333,2018-04-17 10:35:00,07BD,7.38,11.31,458.6,-0.06,2018,4,580.3129883,0.200420573,11.0,0.03,1.0,16.6,0
AB07DA0980,57.72361,-111.37917,2018-04-17 09:30:00,07DA,7.45,12.11,426.0,-0.01,2018,4,223.291153,0.186179221,6.0,0.03,1.1,6.1,0
AB07CC0030,56.72028,-111.40556,2018-04-16 12:50:00,07CC,7.57,12.87,424.5,0.01,2018,4,240.5357361,2.6102705,10.0,0.03,-0.3,0.0,0
AB05FA0060,52.65881,-113.67508,2018-04-26 10:00:00,05FA,7.39,7.73,300.8,8.27,2018,4,804.4741211,0.64455384,12.0,0.093,0.9,17.2,0
AB05FA0340,52.93736,-112.84861,2018-04-26 11:30:00,05FA,7.25,6.93,418.5,7.82,2018,4,683.4337158,0.636118114,12.0,0.072,3.3,11.7,0
AB05CA0045,51.80198,-114.66324,2018-04-17 10:45:00,05CA,7.73,11.04,513.0,1.89,2018,4,1105.551392,0.151217431,8.0,-0.016,-0.6,22.2,12
AB05AB0100,49.63926,-113.79526,2018-04-24 09:55:00,05AB,8.32,11.41,526.0,5.65,2018,4,1092.840088,1.027666211,8.0,0.051,1.8,23.8,0
AB06AD0130,54.25139,-110.02972,2018-04-24 11:00:00,06AD,7.27,9.2,256.1,0.45,2018,4,491.5502319,0.449382424,8.0,0.112,0.7,44.0,0
AB05AD0070,49.47882,-113.30135,2018-04-24 11:20:00,05AD,8.51,11.7,498.0,9.46,2018,4,980.2529907,1.081493616,12.0,0.051,2.4,23.6,0
AB05AD0240,49.7275,-113.17806,2018-04-24 13:00:00,05AD,8.23,10.41,416.0,9.88,2018,4,898.3754883,4.490865707,12.0,0.051,2.2,24.6,0
AB07AC0015,54.0121,-116.96656,2018-04-25 11:00:00,07AC,7.88,12.13,308.0,-0.7,2018,4,864.2140503,1.843506694,9.0,0.112,-0.1,11.1,0
AB05CH0120,50.84222,-111.60417,2018-04-24 12:40:00,05CH,7.8,8.91,422.0,6.28,2018,4,637.9532471,0.785174131,7.0,0.053,0.8,8.4,0
AB05CC0460,52.35664,-113.79567,2018-04-23 09:00:00,05CC,7.56,9.72,120.5,2.34,2018,4,844.72229,0.386448085,12.0,0.093,0.5,21.9,1
AB05BM0590,50.77313,-112.84547,2018-04-18 09:20:00,05BM,7.95,12.04,517.0,0.02,2018,4,812.2988281,1.346238852,8.0,0.003,0.3,12.2,0
AB05BH0010,51.18306,-114.48708,2018-04-16 09:10:00,05BH,8.14,12.51,331.0,0.43,2018,4,1120.670044,1.814611316,8.0,-0.016,2.3,15.2,37
AB05BM0010,50.82575,-113.44211,2018-04-18 12:10:00,05BM,8.07,12.73,483.0,2.62,2018,4,909.9938965,1.647593737,12.0,0.003,0.6,17.5,0
AB05BN0010,50.04786,-111.59199,2018-04-23 13:00:00,05BN,7.88,11.81,366.0,1.98,2018,4,700.5982666,2.371221304,8.0,0.053,2.8,16.4,0
AB05BN0070,50.43056,-112.22778,2018-04-23 10:10:00,05BN,7.49,8.37,322.0,8.76,2018,4,743.7490845,1.661196709,7.0,0.05,2.1,10.5,0
AB05BM0620,50.83456,-112.76286,2018-04-18 08:35:00,05BM,7.69,10.81,783.0,0.0,2018,4,823.2521973,5.082017899,12.0,0.003,0.3,12.2,0
AB05BM0585,50.76472,-113.12389,2018-04-18 10:30:00,05BM,7.9,12.38,406.0,0.93,2018,4,850.7938232,2.547780275,12.0,0.003,0.6,17.5,0
AB05BJ0450,51.04483,-114.04194,2018-04-16 12:00:00,05BJ,8.15,12.14,1075.0,2.25,2018,4,1040.355713,0.6929245,13.0,-0.016,0.9,21.3,69
AB05AG0140,49.96502,-112.08198,2018-04-25 11:20:00,05AG,7.88,9.94,947.0,8.25,2018,4,742.4788818,4.60358572,8.0,0.05,2.8,17.0,0
AB05CA0015,51.73667,-114.65444,2018-04-17 12:45:00,05CA,7.84,10.47,431.0,-0.01,2018,4,1115.195801,0.968437791,8.0,-0.016,-0.6,22.2,0
AB05BK0070,50.90524,-114.01095,2018-04-17 12:15:00,05BK,8.1,11.87,1348.0,4.6,2018,4,996.562561,0.661587059,13.0,-0.016,1.3,47.8,0
AB05BG0090,51.28261,-114.83739,2018-04-16 10:10:00,05BG,8.26,11.99,330.0,1.68,2018,4,1258.355103,5.491668701,9.0,-0.016,1.4,31.2,0
AB05BL0490,50.78231,-113.82586,2018-04-17 10:45:00,05BL,8.05,12.41,323.0,0.0,2018,4,964.1889648,7.267912865,12.0,-0.016,1.3,47.8,0
AB05BL0210,50.60126,-113.85801,2018-04-17 10:00:00,05BL,7.98,12.24,290.0,0.15,2018,4,1030.83728,1.431239724,12.0,-0.016,0.8,12.4,11
AB05CA0090,51.92645,-114.68533,2018-04-17 10:00:00,05CA,8.05,11.96,404.0,0.8,2018,4,1073.328979,0.349916279,9.0,0.022,-0.6,22.2,0
AB05BH0040,51.18386,-114.49894,2018-04-16 08:45:00,05BH,7.87,12.35,379.0,0.0,2018,4,1126.768921,2.931699038,8.0,-0.016,2.3,15.2,37
AB05CE0685,51.46984,-112.97859,2018-04-24 09:30:00,05CE,8.11,9.79,198.0,5.92,2018,4,728.7550049,6.327431202,12.0,0.05,1.4,3.6,0
AB05CE0690,51.49778,-112.84139,2018-04-24 11:45:00,05CE,8.09,9.92,208.0,7.02,2018,4,688.6226807,0.451401502,12.0,0.05,1.4,3.6,0
AB07BK0125,55.20667,-114.1225,2018-04-17 13:40:00,07BK,6.89,11.39,234.0,-0.1,2018,4,561.3552856,1.418970466,9.0,-0.006,-1.3,5.7,0
AB07BK0125,55.20667,-114.1225,2018-04-17 13:40:00,07BK,6.89,11.39,234.0,-0.1,2018,4,561.3552856,1.418970466,9.0,-0.006,-1.1,52.5,0
AB05AC0190,50.13183,-113.13732,2018-04-23 11:30:00,05AC,7.85,10.21,355.0,6.8,2018,4,900.1089478,0.301615566,12.0,0.05,1.1,28.9,0
AB05AC0100,50.3531,-113.54371,2018-04-23 09:15:00,05AC,7.72,10.74,224.0,0.34,2018,4,968.0073242,2.200503826,12.0,0.05,0.2,21.4,0
AB05AC0175,50.22533,-113.39758,2018-04-23 10:30:00,05AC,7.66,12.15,539.0,5.64,2018,4,943.9644165,2.929008245,12.0,0.051,0.2,21.4,0
AB05AC0320,49.90167,-112.50667,2018-04-25 10:00:00,05AC,8.19,10.35,574.0,9.12,2018,4,769.3374023,0.632007778,8.0,0.05,2.4,26.8,0
AB05CB0270,52.02799,-114.14036,2018-04-23 14:00:00,05CB,8.07,11.49,106.0,1.14,2018,4,908.1798706,2.444368601,12.0,0.093,-4.4,15.7,0
AB05CJ0030,50.84167,-111.93056,2018-04-24 13:00:00,05CJ,7.8,8.91,658.0,7.66,2018,4,698.5332031,0.413563311,8.0,0.05,0.8,8.4,0
