"Long","Lat","Stn_Name","Clim_ID","Prov_or_Ter","Tm","DwTm","D","Tx","DwTx","Tn","DwTn","S","DwS","S%N","P","DwP","P%N","S_G","Pd","BS","DwBS","BS%","HDD","CDD"
"-112.967","54.283","ABEE AGDM","3010010","AB","9.4","0","NA","23.7","0","-7.4","0","","","NA","41.0","3","NA","","6","","","NA","267.5","0.0"
"-111.181","53.113","ALBERT HALL AGCM","3010060","AB","9.3","0","NA","28.7","0","-9.6","0","","","NA","66.6","0","NA","","5","","","NA","268.3","0.0"
"-111.779","52.315","ALLIANCE AGCM","3010162","AB","9.6","0","NA","28.9","0","-8.0","0","","","NA","57.1","0","NA","","4","","","NA","261.7","0.6"
"-112.279","53.917","ANDREW AGDM","3010237","AB","9.6","0","NA","25.0","0","-6.9","0","","","NA","41.0","2","NA","","5","","","NA","261.3","0.0"
"-111.465","52.582","BELLSHILL AGCM","3010650","AB","10.4","4","NA","28.9","4","-4.3","4","","","NA","59.2","4","NA","","5","","","NA","206.2","1.6"
"-110.101","52.124","BODO AGDM","3010730","AB","11.2","0","NA","29.9","0","-9.0","0","","","NA","33.9","0","NA","","2","","","NA","213.0","3.6"
"-114.441","53.089","BRETON PLOTS","3010816","AB","8.9","0","NA","24.0","0","-3.7","0","","","NA","80.9","2","NA","","7","","","NA","280.7","0.0"
"-113.922","53.931","BUSBY AGCM","3010979","AB","9.6","0","NA","23.9","0","-6.1","0","","","NA","64.6","1","NA","","8","","","NA","261.5","0.0"
"-110.510","52.334","CADOGAN AGCM","3010992","AB","10.1","0","NA","29.5","0","-6.2","0","","","NA","52.8","1","NA","","4","","","NA","249.0","3.1"
"-112.817","53.050","CAMROSE","3011240","AB","9.2","1","-1.3","24.6","1","-5.7","1","","","NA","101.8","1","NA","","6","","","NA","264.0","0.0"
"-110.713","51.937","CONSORT AGDM","3011815","AB","9.7","0","NA","29.8","0","-5.3","0","","","NA","43.2","21","NA","","2","","","NA","259.3","2.8"
"-111.449","52.074","CORONATION CLIMATE","3011887","AB","9.0","0","NA","28.8","0","-7.4","0","","","NA","46.8","0","NA","","6","","","NA","277.7","0.0"
"-113.903","52.733","CRESTOMERE AGCM","3011892","AB","9.2","0","NA","25.8","0","-7.0","0","","","NA","66.0","0","NA","","6","","","NA","271.9","0.0"
"-113.176","52.183","DELBURNE AGCM","3012050","AB","9.8","0","NA","27.6","0","-2.4","0","","","NA","82.4","2","NA","","6","","","NA","257.0","1.3"
"-110.588","53.659","DEWBERRY AGCM","3012073","AB","9.2","0","NA","28.0","0","-9.4","0","","","NA","42.3","1","NA","","3","","","NA","274.8","1.3"
"-110.433","52.778","EDGERTON AGCM","3012192","AB","10.0","0","NA","29.4","0","-7.3","0","","","NA","57.0","0","NA","","2","","","NA","250.5","1.6"
"-113.606","53.307","EDMONTON INTERNATIONAL CS","3012206","AB","10.2","12","NA","24.6","12","-7.5","12","","","NA","81.9","12","NA","","6","","","NA","149.7","0.6"
"-113.517","53.573","EDMONTON BLATCHFORD","3012209","AB","11.1","0","NA","24.6","0","-2.9","0","","","NA","66.0","0","NA","","5","","","NA","217.8","2.6"
"-113.467","53.667","EDMONTON NAMAO AWOS A","3012212","AB","9.7","1","NA","24.0","1","-7.9","1","","","NA","63.5","1","NA","","7","","","NA","249.1","0.4"
"-113.579","53.310","EDMONTON INTL A","3012216","AB","9.6","0","NA","25.0","0","-7.4","0","9.0","0","NA","91.2","0","NA","","9","","","NA","259.9","0.8"
"-113.538","53.490","EDMONTON SOUTH CAMPUS","3012220","AB","11.1","0","NA","25.2","0","-2.8","0","","","NA","70.4","0","NA","","7","","","NA","216.0","3.6"
"-113.856","53.668","EDMONTON VILLENEUVE A","3012229","AB","9.9","0","NA","24.3","0","-6.9","0","","","NA","67.8","0","NA","","7","","","NA","252.2","0.6"
"-114.108","53.548","EDMONTON STONY PLAIN","301222F","AB","10.6","0","-0.2","24.5","0","-4.5","0","4.6","0","74.0","69.8","0","132.0","0.0","9","","","NA","229.5","0.8"
"-112.868","53.683","ELK ISLAND NAT PARK","3012275","AB","9.7","0","-0.9","23.7","0","-2.8","0","","","NA","65.5","0","133.0","","8","","","NA","258.4","0.0"
"-111.000","52.967","FABYAN","3012515","AB","9.1","0","-1.1","28.5","0","-9.5","0","0.0","0","0.0","61.2","0","138.0","0.0","4","","","NA","275.4","0.0"
"-112.858","52.744","FERINTOSH AGCM","3012590","AB","9.7","0","NA","25.1","0","-5.7","0","","","NA","84.1","0","NA","","6","","","NA","257.7","0.0"
"-111.813","52.041","FLEET AGCM","3012635","AB","8.9","0","NA","28.2","0","-4.5","0","","","NA","49.3","3","NA","","6","","","NA","282.6","0.0"
"-112.123","52.548","FORESTBURG AGCM","3012653","AB","9.7","0","NA","29.1","0","-5.1","0","","","NA","59.0","0","NA","","6","","","NA","258.8","0.7"
"-113.183","53.717","FORT SASKATCHEWAN","3012710","AB","11.5","8","0.3","27.0","8","-5.0","8","0.0","8","NA","9.8","8","NA","0.0","3","","","NA","152.0","2.1"
"-110.621","53.071","GILT EDGE NORTH AGCM","3012790","AB","10.0","0","NA","29.5","0","-8.0","0","","","NA","48.9","0","NA","","3","","","NA","248.4","1.9"
"-114.320","53.295","ST. FRANCIS","3012799","AB","10.1","0","NA","24.3","0","-3.8","0","","","NA","65.9","2","NA","","7","","","NA","245.8","0.2"
"-112.278","52.987","GLADSTONE AGCM","3012810","AB","9.2","0","NA","27.2","0","-7.5","0","","","NA","83.6","1","NA","","6","","","NA","272.5","0.0"
"-114.539","53.833","GLENEVIS AGCM","3012818","AB","9.8","0","NA","24.3","0","-4.2","0","","","NA","","","NA","","","","","NA","255.3","0.0"
"-110.803","52.113","GOOSEBERRY LAKE AGCM","3012871","AB","8.9","0","NA","29.5","0","-7.3","0","","","NA","51.7","1","NA","","4","","","NA","282.1","0.3"
"-112.164","52.116","HALKIRK AGCM","3012999","AB","8.9","0","NA","28.0","0","-5.9","0","","","NA","52.9","14","NA","","6","","","NA","281.7","0.0"
"-111.212","51.780","HEMARUKA AGCM","3013140","AB","9.4","0","NA","29.3","0","-5.9","0","","","NA","44.9","1","NA","","5","","","NA","268.0","1.3"
"-112.246","53.185","HOLDEN AGDM","3013340","AB","9.2","0","NA","26.0","0","-6.6","0","","","NA","103.4","3","NA","","6","","","NA","272.2","0.0"
"-110.784","52.578","HUGHENDEN AGCM","3013362","AB","9.8","0","NA","29.4","0","-5.4","0","","","NA","50.5","1","NA","","3","","","NA","254.7","1.2"
"-111.872","52.848","KILLAM AGDM","3013640","AB","10.0","0","NA","28.8","0","-5.9","0","","","NA","","","NA","","","","","NA","249.3","0.0"
"-111.113","52.290","KESSLER AGCM","3013644","AB","9.6","0","NA","29.0","0","-5.7","0","","","NA","","","NA","","","","","NA","262.1","2.6"
"-111.548","53.047","KINSELLA RESEARC STATION","3013647","AB","9.5","0","NA","28.3","0","-5.6","0","","","NA","73.4","0","NA","","7","","","NA","265.4","0.5"
"-110.416","53.353","KITSCOTY AGCM","3013660","AB","9.8","0","NA","28.8","0","-8.3","0","","","NA","64.3","1","NA","","4","","","NA","255.6","2.5"
"-113.474","54.003","LEGAL AGCM","3013790","AB","9.9","0","NA","24.3","0","-5.4","0","","","NA","51.8","3","NA","","5","","","NA","252.5","0.3"
"-110.579","53.943","LINDBERGH AGDM","3013921","AB","8.9","0","NA","26.5","0","-9.0","0","","","NA","42.4","1","NA","","7","","","NA","281.5","0.2"
"-110.073","53.309","LLOYDMINSTER","3013959","AB","9.3","0","NA","29.0","0","-9.7","0","","","NA","63.0","0","NA","","3","","","NA","271.9","2.5"
"-110.073","53.309","LLOYDMINSTER A","3013961","AB","9.3","0","-0.8","29.0","0","-10.0","0","0.0","0","0.0","70.6","0","158.0","0.0","5","","","NA","271.5","2.5"
"-111.255","53.456","MANNVILLE AGCM","3014195","AB","9.4","0","NA","28.2","0","-9.0","0","","","NA","62.2","1","NA","","6","","","NA","266.4","1.3"
"-110.550","52.017","MONITOR","3014600","AB","","","NA","","","","","0.0","0","0.0","57.6","0","156.0","0.0","4","","","NA","",""
"-112.300","53.567","MUNDARE AGDM","3014665","AB","9.7","0","NA","24.5","0","-7.6","0","","","NA","68.2","0","NA","","8","","","NA","258.3","0.0"
"-111.114","53.720","MYRNAM AGCM","3014690","AB","9.0","6","NA","25.4","6","-11.2","6","","","NA","29.8","6","NA","","4","","","NA","226.1","0.0"
"-113.165","53.262","NEW SAREPTA AGCM","3014795","AB","9.6","0","NA","23.8","0","-5.4","0","","","NA","67.9","0","NA","","7","","","NA","261.5","0.0"
"-113.350","53.650","OLIVER AGDM","3014921","AB","9.9","0","NA","24.8","0","-6.6","0","","","NA","","","NA","","","","","NA","251.2","0.7"
"-112.879","53.995","RADWAY AGCM","3015346","AB","9.7","0","NA","24.8","0","-7.2","0","","","NA","","","NA","","","","","NA","258.5","0.4"
"-111.726","53.425","RANFURLY AUTO","3015401","AB","10.1","1","NA","27.6","1","-6.5","1","","","NA","56.0","1","NA","","5","","","NA","236.5","0.1"
"-110.343","52.587","RIBSTONE SOUTH AGCM","3015480","AB","9.4","0","NA","29.3","0","-11.3","0","","","NA","54.1","0","NA","","3","","","NA","267.3","1.9"
"-110.102","53.019","RIVERCOURSE AGCM","3015501","AB","9.6","0","NA","29.2","0","-9.1","0","","","NA","53.6","8","NA","","4","","","NA","262.5","2.0"
"-114.912","52.421","ROCKY MTN HOUSE (AUT)","3015523","AB","7.7","1","NA","24.6","1","-5.2","1","","","NA","62.3","1","NA","2.0","9","","","NA","310.3","0.0"
"-112.422","52.792","ROSALIND AGCM","3015600","AB","9.8","0","NA","28.1","0","-6.6","0","","","NA","78.3","1","NA","","6","","","NA","254.9","0.6"
"-111.453","54.282","ST. LINA AGCM","3015673","AB","9.1","0","NA","24.6","0","-9.9","0","","","NA","43.5","11","NA","","6","","","NA","276.0","0.0"
"-111.272","54.011","ST. PAUL AGCM","3015676","AB","9.4","0","NA","24.9","0","-7.6","0","","","NA","48.1","3","NA","","6","","","NA","265.5","0.0"
"-110.755","51.590","SEDALIA AGCM","3015797","AB","9.5","0","NA","30.1","0","-5.3","0","","","NA","40.4","0","NA","","4","","","NA","264.1","2.1"
"-112.539","53.333","SHONTS AGCM","3015900","AB","9.2","0","NA","25.3","0","-6.7","0","","","NA","81.2","0","NA","","6","","","NA","274.0","0.0"
"-112.499","54.278","SMOKY LAKE AGDM","3016022","AB","9.4","0","NA","28.6","0","-7.3","0","","","NA","50.9","1","NA","","7","","","NA","267.9","0.0"
"-111.683","51.816","SPONDIN AGCM","3016070","AB","9.0","0","NA","29.1","0","-8.3","0","","","NA","40.7","13","NA","","5","","","NA","279.5","0.0"
"-112.596","52.347","STETTLER AGDM","3016124","AB","9.5","0","NA","28.2","0","-7.5","0","","","NA","55.7","0","NA","","7","","","NA","265.0","0.4"
"-113.895","53.217","THORSBY AGCM","3016441","AB","9.7","0","NA","25.2","0","-6.9","0","","","NA","84.7","0","NA","","8","","","NA","256.1","0.2"
"-114.718","53.439","TOMAHAWK AGDM","3016505","AB","9.4","0","NA","24.1","0","-4.2","0","","","NA","80.3","0","NA","","7","","","NA","266.4","0.0"
"-110.081","53.664","TULLIBY LAKE AGCM","3016593","AB","9.7","0","NA","28.4","0","-7.7","0","","","NA","48.0","1","NA","","5","","","NA","258.0","1.9"
"-113.033","53.500","UNCAS","3016650","AB","","","NA","","","","","15.2","0","NA","70.0","0","NA","0.0","7","","","NA","",""
"-111.678","53.625","TWO HILLS AGDM","3016655","AB","9.7","0","NA","26.2","0","-6.6","0","","","NA","54.6","0","NA","","6","","","NA","256.0","0.1"
"-110.882","53.344","VERMILION AGDM","3016802","AB","9.6","0","NA","29.2","0","-10.2","0","","","NA","61.8","3","NA","","5","","","NA","262.9","1.6"
"-111.732","53.182","VIKING AGCM","3016841","AB","9.5","5","NA","24.5","5","-6.0","5","","","NA","57.8","5","NA","","5","","","NA","220.3","0.0"
"-111.921","54.130","VILNA AGCM","3016852","AB","9.0","0","NA","23.9","0","-9.1","0","","","NA","51.6","0","NA","","7","","","NA","280.5","0.0"
"-115.126","53.144","VIOLET GROVE CS","3016860","AB","9.1","1","NA","24.7","1","-4.0","1","","","NA","70.7","1","NA","","7","","","NA","267.1","0.0"
"-112.098","53.505","VEGREVILLE","3016GF0","AB","9.4","0","-0.9","26.0","0","-9.3","0","","","NA","61.1","0","165.0","","5","","","NA","265.2","0.0"
"-113.444","52.980","WETASKIWIN AGCM","3017282","AB","9.5","0","NA","24.6","0","-4.9","0","","","NA","73.5","3","NA","","6","","","NA","264.5","0.2"
"-111.224","51.491","YOUNGSTOWN AGCM","3017705","AB","9.6","0","NA","29.7","0","-5.3","0","","","NA","40.4","0","NA","","5","","","NA","263.3","2.0"
"-114.108","53.547","EDMONTON STONY PLAIN CS","301A001","AB","10.1","0","NA","24.2","0","-4.3","0","","","NA","68.1","0","NA","","9","","","NA","244.4","0.3"
"-110.206","51.670","ESTHER 1","301B460","AB","9.6","0","NA","30.4","0","-7.4","0","","","NA","29.5","0","NA","","3","","","NA","262.1","2.7"
"-111.096","52.829","WAINWRIGHT CFB AIRFIELD 21","301S001","AB","9.8","1","NA","25.3","1","-7.7","1","","","NA","58.2","1","NA","","3","","","NA","245.8","0.0"
"-110.317","51.066","ACADIA VALLEY","3020035","AB","10.1","0","NA","29.9","0","-4.5","0","","","NA","35.6","0","NA","","7","","","NA","245.4","2.0"
"-111.006","50.810","ATLEE AGCM","3020405","AB","9.9","0","NA","28.4","0","-3.3","0","","","NA","58.0","0","NA","","7","","","NA","252.2","1.0"
"-113.357","51.379","BEISEKER AGCM","3020610","AB","8.8","0","NA","27.7","0","-7.3","0","","","NA","35.2","0","NA","","4","","","NA","286.1","0.0"
"-112.803","51.998","BIG VALLEY AGCM","3020679","AB","9.8","0","NA","28.0","0","-3.2","0","","","NA","48.0","0","NA","","5","","","NA","255.3","0.2"
"-110.686","50.798","BUFFALO AGCM","3020950","AB","10.1","0","NA","29.9","0","-4.8","0","","","NA","52.5","0","NA","","7","","","NA","247.5","1.9"
"-111.221","51.024","CABIN LAKE AGCM","3021000","AB","9.6","0","NA","29.0","0","-5.6","0","","","NA","","","NA","","","","","NA","261.6","1.5"
"-110.797","51.067","CAPPON","3021200","AB","9.5","0","NA","29.7","0","-4.3","0","","","NA","45.8","2","NA","","7","","","NA","263.8","1.7"
"-110.824","51.276","CEREAL AGCM","3021463","AB","9.3","0","NA","29.4","0","-5.4","0","","","NA","41.7","2","NA","","6","","","NA","270.6","1.5"
"-112.252","51.775","CRAIGMYLE AGCM","3021912","AB","9.5","0","NA","28.7","0","-5.9","0","","","NA","46.2","0","NA","","6","","","NA","264.1","1.4"
"-112.677","51.445","DRUMHELLER EAST","30221LG","AB","11.2","0","NA","30.9","0","-3.0","0","","","NA","42.4","4","NA","","5","","","NA","213.1","2.8"
"-112.097","51.053","FINNEGAN AGCM","3022650","AB","9.6","0","NA","30.2","0","-7.8","0","","","NA","","","NA","","","","","NA","261.1","0.4"
"-112.135","51.453","HAND HILLS AGCM","3022990","AB","8.7","0","NA","28.1","0","-5.8","0","","","NA","52.7","1","NA","","7","","","NA","289.7","0.0"
"-114.486","52.310","HESPERO AGCM","3023200","AB","8.4","0","NA","25.5","0","-6.6","0","","","NA","50.3","0","NA","","7","","","NA","296.6","0.0"
"-112.500","51.183","HUSSAR AGDM","3023402","AB","9.0","0","NA","28.1","0","-3.6","0","","","NA","48.8","0","NA","","6","","","NA","280.8","1.0"
"-110.359","51.913","KIRRIEMUIR AGCM","3023660","AB","9.6","0","NA","29.9","0","-7.2","0","","","NA","39.3","4","NA","","3","","","NA","261.5","1.8"
"-113.756","52.449","LACOMBE CDA 2","3023722","AB","9.3","0","NA","25.3","0","-3.0","0","","","NA","49.1","0","NA","","7","","","NA","269.8","0.2"
"-114.473","52.553","LEEDALE AGDM","3023740","AB","8.1","0","NA","25.1","0","-5.6","0","","","NA","49.5","0","NA","","7","","","NA","307.9","0.0"
"-113.656","51.619","LINDEN AGCM","3023850","AB","8.4","0","NA","28.0","0","-6.8","0","","","NA","36.9","0","NA","","5","","","NA","297.0","0.0"
"-110.341","49.458","LODGE CREEK","3023900","AB","7.9","0","NA","27.7","0","-3.4","0","","","NA","75.7","0","NA","","12","","","NA","313.3","0.0"
"-112.675","51.660","MORRIN AGDM","3024668","AB","9.6","0","NA","28.9","0","-7.3","0","","","NA","34.5","20","NA","","3","","","NA","261.2","0.6"
"-114.085","51.759","OLDS AGDM","3024925","AB","8.5","0","NA","27.3","0","-5.5","0","","","NA","53.6","0","NA","","5","","","NA","293.4","0.0"
"-110.350","51.383","OYEN AGDM","3024965","AB","9.6","0","NA","29.8","0","-5.6","0","","","NA","42.2","0","NA","","6","","","NA","261.4","2.0"
"-111.621","50.740","PATRICIA AGCM","3025013","AB","10.1","0","NA","29.5","0","-6.1","0","","","NA","48.5","1","NA","","7","","","NA","246.6","2.1"
"-111.705","51.125","POLLOCKVILLE AGDM","3025243","AB","9.3","0","NA","30.3","0","-8.7","0","","","NA","46.9","0","NA","","6","","","NA","269.3","0.0"
"-113.600","52.433","PRENTISS","3025297","AB","9.1","0","NA","25.2","0","-4.7","0","","","NA","65.8","0","NA","","7","","","NA","275.5","0.4"
"-112.106","52.182","RED DEER OVERLAP","3025483","AB","","","NA","","","","","0.0","30","NA","0.0","30","NA","","0","","","NA","",""
"-113.894","52.182","RED DEER REGIONAL A","3025484","AB","9.1","0","NA","27.2","0","-4.0","0","","","NA","45.2","0","NA","","5","","","NA","275.9","0.7"
"-113.620","53.692","ST. ALBERT RESEARCH STATION","3025750","AB","9.9","0","NA","25.3","0","-6.4","0","","","NA","64.1","1","NA","","4","","","NA","250.8","0.9"
"-110.091","50.307","SCHULER AGDM","3025768","AB","9.8","0","NA","30.3","0","-5.0","0","","","NA","50.0","8","NA","","8","","","NA","256.4","1.3"
"-111.646","51.463","SHEERNESS AGCM","3025890","AB","9.6","0","NA","29.0","0","-4.6","0","","","NA","38.9","1","NA","","5","","","NA","260.4","0.8"
"-111.388","51.301","SUNNYNOOK AGCM","3026264","AB","8.9","0","NA","29.7","0","-7.0","0","","","NA","43.9","2","NA","","5","","","NA","281.7","0.8"
"-113.206","51.768","THREE HILLS","3026479","AB","8.9","0","NA","29.0","0","-6.9","0","","","NA","39.2","0","NA","","5","","","NA","283.6","0.0"
"-111.955","50.895","VERGER","3026800","AB","9.7","1","NA","30.2","0","-5.5","1","","","NA","35.6","3","NA","","6","","","NA","251.0","0.6"
"-114.683","51.778","SUNDRE A","3026KNQ","AB","7.4","0","NA","25.4","0","-5.6","0","","","NA","54.9","0","NA","","9","","","NA","327.9","0.0"
"-113.591","51.936","WIMBORNE AGCM","3027582","AB","8.9","0","NA","27.0","0","-7.5","0","","","NA","54.7","0","NA","","6","","","NA","280.7","0.1"
"-113.434","49.528","ARDENVILLE","3030200","AB","8.7","0","NA","25.8","0","-2.5","0","","","NA","57.4","4","NA","","10","","","NA","286.9","0.0"
"-114.013","50.512","AZURE","3030450","AB","8.7","0","NA","27.9","0","-3.4","0","","","NA","59.4","2","NA","","10","","","NA","289.7","1.2"
"-112.300","49.800","BARNWELL AGDM","3030525","AB","10.2","0","NA","29.0","0","-2.1","0","","","NA","32.2","0","NA","","7","","","NA","241.0","0.7"
"-113.224","50.026","BARONS AGCM","3030529","AB","9.0","0","NA","28.3","0","-3.7","0","","","NA","42.0","0","NA","","8","","","NA","279.2","0.0"
"-112.465","50.893","BASSANO AGCM","3030540","AB","9.2","0","NA","29.8","0","-5.8","0","","","NA","30.8","0","NA","","7","","","NA","272.0","0.1"
"-114.152","50.707","BLACK DIAMOND","3030680","AB","8.0","0","NA","26.3","0","-4.8","0","","","NA","58.9","1","NA","","9","","","NA","308.6","0.0"
"-113.640","50.546","BLACKIE AGCM","3030690","AB","8.4","0","NA","28.1","0","-5.0","0","","","NA","25.2","1","NA","","5","","","NA","297.5","0.0"
"-113.050","49.567","BLOOD TRIBE AGDM","3030720","AB","8.9","0","NA","27.7","0","-2.3","0","","","NA","43.4","1","NA","","6","","","NA","280.8","0.0"
"-111.450","49.734","BOW ISLAND","3030768","AB","10.4","0","NA","30.5","0","-2.3","0","","","NA","40.0","0","NA","","8","","","NA","237.4","2.5"
"-111.366","49.868","BOW ISLAND IRRIGATION AGDM","3030772","AB","10.6","0","NA","30.8","0","-2.4","0","","","NA","48.5","0","NA","","8","","","NA","231.3","2.3"
"-113.817","49.617","BROCKET AGDM","3030830","AB","9.1","0","NA","27.4","0","-5.1","0","","","NA","48.5","0","NA","","7","","","NA","277.4","0.0"
"-110.484","50.339","BULL SPRINGS AGCM","3030879","AB","10.1","0","NA","29.8","0","-3.1","0","","","NA","55.9","0","NA","","9","","","NA","247.0","2.3"
"-111.849","50.555","BROOKS","3030QLP","AB","9.8","1","NA","29.3","1","-5.0","1","","","NA","50.2","1","NA","","7","","","NA","246.2","0.7"
"-114.013","51.123","CALGARY INTL A","3031092","AB","9.3","1","NA","27.2","1","-3.0","1","7.8","1","NA","35.0","1","NA","","8","","","NA","261.1","0.8"
"-114.000","51.109","CALGARY INT'L CS","3031094","AB","8.9","0","NA","27.1","0","-3.4","0","","","NA","33.8","0","NA","","7","","","NA","283.8","0.6"
"-114.371","51.105","CALGARY SPRINGBANK A","3031109","AB","7.6","1","NA","26.1","1","-6.3","1","","","NA","44.4","1","NA","","8","","","NA","311.8","0.0"
"-113.286","49.201","CARDSTON","3031322","AB","8.8","2","NA","25.7","2","-2.7","2","","","NA","","","NA","","","","","NA","267.5","0.1"
"-113.376","49.001","CARWAY","3031402","AB","7.5","0","NA","23.6","0","-4.7","0","","","NA","51.2","0","NA","3.0","13","","","NA","324.1","0.0"
"-113.350","50.282","CHAMPION AGDM","3031480","AB","8.7","0","NA","28.0","0","-3.0","0","","","NA","36.6","0","NA","","6","","","NA","288.1","0.0"
