ProjectNumber,SampleNumber,ContinentalRiverBasinCode,RiverBasinCode,RiverSubBasinCode,StationTypeCode,StationNumber,Station,LatitudeDecimalDegrees,LongitudeDecimalDegrees,SampleMatrixCode,SampleTypeCode,CollectionCode,QCSampleFlag,SampleComment,SampleDatetime,97251 DEPTH OF SAMPLING FROM SURFACE m,1593 ALKALINITY PHENOLPHTHALEIN CACO3 mg/L,1592 ALKALINITY TOTAL CACO3 mg/L,103927 ALUMINUM DISSOLVED ug/L,103999 ALUMINUM TOTAL RECOVERABLE ug/L,2007 AMMONIA TOTAL mg/L,103951 ANTIMONY DISSOLVED ug/L,80043 ANTIMONY TOTAL RECOVERABLE ug/L,103928 ARSENIC DISSOLVED ug/L,80020 ARSENIC TOTAL RECOVERABLE ug/L,103930 BARIUM DISSOLVED ug/L,80022 BARIUM TOTAL RECOVERABLE ug/L,103931 BERYLLIUM DISSOLVED ug/L,80023 BERYLLIUM TOTAL RECOVERABLE ug/L,1594 BICARBONATE (CALCD.) mg/L,103932 BISMUTH DISSOLVED ug/L,80024 BISMUTH TOTAL RECOVERABLE ug/L,103929 BORON DISSOLVED ug/L,80021 BORON TOTAL RECOVERABLE ug/L,103934 CADMIUM DISSOLVED ug/L,80026 CADMIUM TOTAL RECOVERABLE ug/L,103933 CALCIUM DISSOLVED mg/L,20111 CALCIUM DISSOLVED/FILTERED mg/L,80025 CALCIUM TOTAL RECOVERABLE mg/L,6152 CARBON DISSOLVED INORGANIC (DIC) mg/L,6107 CARBON DISSOLVED ORGANIC mg/L,1595 CARBONATE (CALCD.) mg/L,2003 CHLORIDE DISSOLVED mg/L,103935 CHLORINE DISSOLVED mg/L,80027 CHLORINE TOTAL RECOVERABLE mg/L,99212 CHLOROPHYLL A mg/m3,103937 CHROMIUM DISSOLVED ug/L,80029 CHROMIUM TOTAL RECOVERABLE ug/L,97320 CLOUD COVER %,103936 COBALT DISSOLVED ug/L,80028 COBALT TOTAL RECOVERABLE ug/L,106257 COLOUR (VISUAL) AT SITE N/A,103938 COPPER DISSOLVED ug/L,80030 COPPER TOTAL RECOVERABLE ug/L,107206 EUPHOTIC DEPTH m,106258 FOAM (VISUAL) AT SITE N/A,10602 HARDNESS TOTAL CACO3 (CALCD.) mg/L,1596 HYDROXIDE (CALCD.) mg/L,"106266 ICE THICKNESS, ESTIMATE m",60209 IONIC BALANCE DIFFERENCE ABSOLUTE VALUE (CALCD.) %,102090 IRON DISSOLVED mg/L,103939 IRON DISSOLVED ug/L,80031 IRON TOTAL RECOVERABLE ug/L,103949 LEAD DISSOLVED ug/L,80041 LEAD TOTAL RECOVERABLE ug/L,103942 LITHIUM DISSOLVED ug/L,80034 LITHIUM TOTAL RECOVERABLE ug/L,12111 MAGNESIUM DISSOLVED/FILTERED mg/L,102089 MANGANESE DISSOLVED mg/L,103944 MANGANESE DISSOLVED ug/L,80036 MANGANESE TOTAL RECOVERABLE ug/L,109749 MERCURY DISSOLVED ng/L,109748 MERCURY TOTAL ng/L,107108 MICROCYSTIN TOTAL ug/L,103945 MOLYBDENUM DISSOLVED ug/L,80037 MOLYBDENUM TOTAL RECOVERABLE ug/L,103947 NICKEL DISSOLVED ug/L,80039 NICKEL TOTAL RECOVERABLE ug/L,2008 NITROGEN DISSOLVED KJELDAHL (DKN) mg/L,102647 NITROGEN NITRATE mg/L,102648 NITROGEN NITRITE mg/L,102649 NITROGEN NO3 & NO2 mg/L,7602 NITROGEN TOTAL (CALCD.) mg/L,2009 NITROGEN TOTAL KJELDAHL (TKN) mg/L,106260 ODOUR APPARENT IN SAMPLE N/A,80558 OXYGEN DISSOLVED (FIELD METER) mg/L,2000 OXYGEN DISSOLVED (FIELD QC) mg/L,100923 PH (FIELD) pH units,10301 PH (LAB) pH units,2013 PHOSPHORUS TOTAL (P) mg/L,2010 PHOSPHORUS TOTAL DISSOLVED mg/L,101163 PHOTOSYNTHETICALLY ACTIVE RADIATION umol/s/m2,19111 POTASSIUM DISSOLVED/FILTERED mg/L,900038 REASON FOR MISSING SAMPLE N/A,2031 REDOX POTENTIAL mV,2005 RESIDUE NONFILTERABLE mg/L,2078 SECCHI DISK TRANSPARENCY m,103952 SELENIUM DISSOLVED ug/L,80044 SELENIUM TOTAL RECOVERABLE ug/L,14106 SILICA REACTIVE mg/L,103926 SILVER DISSOLVED ug/L,103998 SILVER TOTAL RECOVERABLE ug/L,"106267 SNOW DEPTH ON ICE, ESTIMATE m",11111 SODIUM DISSOLVED/FILTERED mg/L,100924 SPECIFIC CONDUCTANCE (FIELD) uS/cm,2041 SPECIFIC CONDUCTANCE (LAB) uS/cm,103955 STRONTIUM DISSOLVED ug/L,80047 STRONTIUM TOTAL RECOVERABLE ug/L,1599 SULPHATE DISSOLVED mg/L,125 SUM OF ANIONS meq/L,120 SUM OF CATIONS meq/L,97060 TEMPERATURE AIR deg C,100925 TEMPERATURE WATER deg C,103958 THALLIUM DISSOLVED ug/L,80053 THALLIUM TOTAL RECOVERABLE ug/L,103956 THORIUM DISSOLVED ug/L,80048 THORIUM TOTAL RECOVERABLE ug/L,103954 TIN DISSOLVED ug/L,80046 TIN TOTAL RECOVERABLE ug/L,103957 TITANIUM DISSOLVED ug/L,80049 TITANIUM TOTAL RECOVERABLE ug/L,201 TOTAL DISSOLVED SOLIDS (CALCD.) mg/L,97001 TOTAL WATER DEPTH m,106259 TURBIDITY (VISUAL) AT SITE N/A,103959 URANIUM DISSOLVED ug/L,80054 URANIUM TOTAL RECOVERABLE ug/L,103960 VANADIUM DISSOLVED ug/L,80055 VANADIUM TOTAL RECOVERABLE ug/L,103961 ZINC DISSOLVED ug/L,80056 ZINC TOTAL RECOVERABLE ug/L
ABS036,18SWE02763,MAC,ATH,07BE,1,AB07BE0840,"BAPTISTE LAKE, NORTH BASIN PROFILE",54.766670,-113.550000,0,1,25,N,"Top sample collected at 1m. Metals & Hg collected with rod & clamp. DO bouncing around between 6-11m, checked on the way up-double values stored in surveyor. Wind 5-10km/hr S, 50% cloud.",03/07/2018 15:00:00,1,L1,190,,2.3,0.029,,0.052,,1.19,,58.8,,0.006,230,,L0.003,,84.3,,L0.01,,37,37.5,,23,L1,4.8,,4.26,0.4,,L0.1,,,0.129,,,0.26,,,150,L1,0.8,0.32,L0.06,,38.2,,0.009,,12.9,13,0.16,,167,0.55,0.59,L0.1,,0.277,,0.69,,0.63,0.0036,0.64,1.8,1.2,,3.95,,7.79,7.87,0.16,0.15,,5.2,,137,L1,,,0.2,5.1,,0.001,0.3,28,392.9,400,,197,15,4.3,4.3,-5,1.28,,L0.002,,L0.002,,L0.06,,0.98,220,14,,,0.335,,0.305,,0.8
ABS036,18SWE02764,MAC,ATH,07BE,1,AB07BE0840,"BAPTISTE LAKE, NORTH BASIN PROFILE",54.766670,-113.550000,0,1,122,N,,03/07/2018 15:05:00,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.91,,7.78,,,,,,,136,,,,,,,,,,402,,,,,,,,2.04,,,,,,,,,,,,,,,,,
ABS036,18SWE02765,MAC,ATH,07BE,1,AB07BE0840,"BAPTISTE LAKE, NORTH BASIN PROFILE",54.766670,-113.550000,0,1,122,N,,03/07/2018 15:10:00,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.06,,7.74,,,,,,,135,,,,,,,,,,407.3,,,,,,,,2.56,,,,,,,,,,,,,,,,,
ABS036,18SWE02766,MAC,ATH,07BE,1,AB07BE0840,"BAPTISTE LAKE, NORTH BASIN PROFILE",54.766670,-113.550000,0,1,122,N,,03/07/2018 15:15:00,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.84,,7.73,,,,,,,135,,,,,,,,,,407.7,,,,,,,,2.99,,,,,,,,,,,,,,,,,
ABS036,18SWE02767,MAC,ATH,07BE,1,AB07BE0840,"BAPTISTE LAKE, NORTH BASIN PROFILE",54.766670,-113.550000,0,1,122,N,,03/07/2018 15:20:00,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,7.68,,,,,,,134,,,,,,,,,,411.3,,,,,,,,3.33,,,,,,,,,,,,,,,,,
ABS036,18SWE02768,MAC,ATH,07BE,1,AB07BE0840,"BAPTISTE LAKE, NORTH BASIN PROFILE",54.766670,-113.550000,0,1,25,N,Mid sample collected @ 6m. Metals & Hg collected with Teflon Kemmerer.,03/07/2018 15:30:00,6,L1,200,,1.7,0.058,,0.047,,1.15,,61.4,,0.006,240,,L0.003,,82,,L0.01,,40,40.1,,25,L1,4.8,,4.23,L0.1,,L0.1,,,0.12,,,0.6,,,160,L1,,0.12,0.075,,66,,0.022,,13,14,0.4,,279,0.6,0.61,L0.1,,0.305,,0.75,,0.11,L0.003,0.11,1.4,1.3,,0.11,,7.65,7.76,0.12,0.11,,5.2,,134,1.3,,,0.2,7.7,,0.001,,28,414.6,420,,207,16,4.5,4.5,,3.58,,L0.002,,L0.002,,L0.06,,1,240,,,,0.348,,0.273,,0.6
ABS036,18SWE02769,MAC,ATH,07BE,1,AB07BE0840,"BAPTISTE LAKE, NORTH BASIN PROFILE",54.766670,-113.550000,0,1,122,N,,03/07/2018 15:32:00,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,7.63,,,,,,,126,,,,,,,,,,418.4,,,,,,,,4,,,,,,,,,,,,,,,,,
ABS036,18SWE02770,MAC,ATH,07BE,1,AB07BE0840,"BAPTISTE LAKE, NORTH BASIN PROFILE",54.766670,-113.550000,0,1,122,N,,03/07/2018 15:34:00,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,7.63,,,,,,,119,,,,,,,,,,424.8,,,,,,,,4.08,,,,,,,,,,,,,,,,,
ABS036,18SWE02771,MAC,ATH,07BE,1,AB07BE0840,"BAPTISTE LAKE, NORTH BASIN PROFILE",54.766670,-113.550000,0,1,122,N,,03/07/2018 15:36:00,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,7.61,,,,,,,117,,,,,,,,,,432.2,,,,,,,,4.35,,,,,,,,,,,,,,,,,
ABS036,18SWE02772,MAC,ATH,07BE,1,AB07BE0840,"BAPTISTE LAKE, NORTH BASIN PROFILE",54.766670,-113.550000,0,1,122,N,,03/07/2018 15:40:00,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.52,,7.58,,,,,,,116,,,,,,,,,,442.1,,,,,,,,4.54,,,,,,,,,,,,,,,,,
ABS036,18SWE02773,MAC,ATH,07BE,1,AB07BE0840,"BAPTISTE LAKE, NORTH BASIN PROFILE",54.766670,-113.550000,0,1,122,N,,03/07/2018 15:45:00,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.22,,7.55,,,,,,,114,,,,,,,,,,458.1,,,,,,,,4.61,,,,,,,,,,,,,,,,,
ABS036,18SWE02774,MAC,ATH,07BE,1,AB07BE0840,"BAPTISTE LAKE, NORTH BASIN PROFILE",54.766670,-113.550000,0,1,122,N,,03/07/2018 15:50:00,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.43,,7.52,,,,,,,36,,,,,,,,,,480.4,,,,,,,,4.78,,,,,,,,,,,,,,,,,
ABS036,18SWE02775,MAC,ATH,07BE,1,AB07BE0840,"BAPTISTE LAKE, NORTH BASIN PROFILE",54.766670,-113.550000,0,1,25,N,Bottom sample collected at 13m. Metals & Hg collected with Teflon Kemmerer.,03/07/2018 16:00:00,13,L1,270,,4.8,1.8,,0.043,,1.63,,73.7,,0.006,330,,L0.003,,76.6,,L0.01,,50,48.1,,33,L1,5.5,,4.45,0.8,,L0.1,,,0.239,,,0.33,,,190,L1,,0.73,1.1,,1370,,0.016,,13.7,16,1.6,,1070,0.8,1.02,0.13,,0.253,,0.96,,L0.003,L0.003,L0.0042,3.2,3.2,,0.28,,7.42,7.61,1.4,0.43,,5.7,,-46,4.7,,,0.2,16,,0.002,,34,530.4,530,,253,10,5.7,5.7,,5.02,,L0.002,,0.006,,L0.06,,2.45,300,,,,0.306,,0.484,,0.5
ABS036,18SWE02776,MAC,ATH,07BE,1,AB07BE0840,"BAPTISTE LAKE, NORTH BASIN PROFILE",54.766670,-113.550000,0,1,122,N,,03/07/2018 16:05:00,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,7.4,,,,,,,-80,,,,,,,,,,574.2,,,,,,,,5.24,,,,,,,,,,,,,,,,,
ABS036,18SWE02736,MAC,ATH,07BE,1,AB07BE0850,"BAPTISTE LAKE, SOUTH BASIN PROFILE",54.746390,-113.551670,0,1,25,N,"Top sample collected @ 1m. Rod and clamp used for Metals and Hg. Partly cloudy, nice day, Wind 5-10km/hr S, 90% cloud cover.",03/07/2018 13:00:00,1,L1,190,,2.3,0.025,,0.055,,1.2,,58.8,,0.004,230,,L0.003,,98.1,,L0.01,,36,42.8,,24,L1,4.8,,5.84,0.9,,L0.1,,,0.116,,,0.58,,,150,L1,0.8,0.44,L0.06,,33.2,,0.018,,13.2,13,0.15,,163,0.51,0.56,L0.1,,0.287,,0.74,,0.034,L0.003,0.034,1.3,1.2,,4.01,,7.81,7.82,0.16,0.15,,5.2,,250,L1,,,0.3,5.2,,0.001,0.3,28,391.3,400,,217,14,4.2,4.3,-15,1.48,,L0.002,,0.002,,L0.06,,1.04,220,25.5,,,0.356,,0.295,,2.2
ABS036,18SWE02737,MAC,ATH,07BE,1,AB07BE0850,"BAPTISTE LAKE, SOUTH BASIN PROFILE",54.746390,-113.551670,0,1,122,N,,03/07/2018 13:03:00,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.75,,7.78,,,,,,,240,,,,,,,,,,387,,,,,,,,2.55,,,,,,,,,,,,,,,,,
ABS036,18SWE02738,MAC,ATH,07BE,1,AB07BE0850,"BAPTISTE LAKE, SOUTH BASIN PROFILE",54.746390,-113.551670,0,1,122,N,,03/07/2018 13:06:00,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.69,,7.78,,,,,,,237,,,,,,,,,,385,,,,,,,,2.84,,,,,,,,,,,,,,,,,
