ProjectNumber,SampleNumber,ContinentalRiverBasinCode,RiverBasinCode,RiverSubBasinCode,StationTypeCode,StationNumber,Station,LatitudeDecimalDegrees,LongitudeDecimalDegrees,SampleMatrixCode,SampleTypeCode,CollectionCode,QCSampleFlag,SampleComment,SampleDatetime,97251 DEPTH OF SAMPLING FROM SURFACE m,1593 ALKALINITY PHENOLPHTHALEIN CACO3 mg/L,1592 ALKALINITY TOTAL CACO3 mg/L,103927 ALUMINUM DISSOLVED ug/L,103999 ALUMINUM TOTAL RECOVERABLE ug/L,2006 AMMONIA DISSOLVED mg/L,2007 AMMONIA TOTAL mg/L,103951 ANTIMONY DISSOLVED ug/L,80043 ANTIMONY TOTAL RECOVERABLE ug/L,103928 ARSENIC DISSOLVED ug/L,80020 ARSENIC TOTAL RECOVERABLE ug/L,103930 BARIUM DISSOLVED ug/L,80022 BARIUM TOTAL RECOVERABLE ug/L,103931 BERYLLIUM DISSOLVED ug/L,80023 BERYLLIUM TOTAL RECOVERABLE ug/L,1594 BICARBONATE (CALCD.) mg/L,103932 BISMUTH DISSOLVED ug/L,80024 BISMUTH TOTAL RECOVERABLE ug/L,103929 BORON DISSOLVED ug/L,80021 BORON TOTAL RECOVERABLE ug/L,103934 CADMIUM DISSOLVED ug/L,80026 CADMIUM TOTAL RECOVERABLE ug/L,103933 CALCIUM DISSOLVED mg/L,20111 CALCIUM DISSOLVED/FILTERED mg/L,80025 CALCIUM TOTAL RECOVERABLE mg/L,104311 CARBON DISSOLVED INORGANIC (DIC) mg/L,6154 CARBON DISSOLVED INORGANIC (DIC) mg/L,6107 CARBON DISSOLVED ORGANIC mg/L,22214 CARBON TOTAL ORGANIC (TOC) mg/L,1595 CARBONATE (CALCD.) mg/L,2003 CHLORIDE DISSOLVED mg/L,99212 CHLOROPHYLL A mg/m3,103937 CHROMIUM DISSOLVED ug/L,80029 CHROMIUM TOTAL RECOVERABLE ug/L,97320 CLOUD COVER %,103936 COBALT DISSOLVED ug/L,80028 COBALT TOTAL RECOVERABLE ug/L,106257 COLOUR (VISUAL) AT SITE N/A,103938 COPPER DISSOLVED ug/L,80030 COPPER TOTAL RECOVERABLE ug/L,107206 EUPHOTIC DEPTH m,106258 FOAM (VISUAL) AT SITE N/A,10602 HARDNESS TOTAL CACO3 (CALCD.) mg/L,5155 HYDROGEN-2 (DEUTERIUM) IN WATER o/oo VSMOW,1596 HYDROXIDE (CALCD.) mg/L,"106266 ICE THICKNESS, ESTIMATE m",60209 IONIC BALANCE DIFFERENCE ABSOLUTE VALUE (CALCD.) %,102090 IRON DISSOLVED mg/L,103939 IRON DISSOLVED ug/L,80031 IRON TOTAL RECOVERABLE ug/L,103949 LEAD DISSOLVED ug/L,80041 LEAD TOTAL RECOVERABLE ug/L,103942 LITHIUM DISSOLVED ug/L,80034 LITHIUM TOTAL RECOVERABLE ug/L,12111 MAGNESIUM DISSOLVED/FILTERED mg/L,102089 MANGANESE DISSOLVED mg/L,103944 MANGANESE DISSOLVED ug/L,80036 MANGANESE TOTAL RECOVERABLE ug/L,109749 MERCURY DISSOLVED ng/L,109748 MERCURY TOTAL ng/L,107108 MICROCYSTIN TOTAL ug/L,103945 MOLYBDENUM DISSOLVED ug/L,80037 MOLYBDENUM TOTAL RECOVERABLE ug/L,103947 NICKEL DISSOLVED ug/L,80039 NICKEL TOTAL RECOVERABLE ug/L,2008 NITROGEN DISSOLVED KJELDAHL (DKN) mg/L,102647 NITROGEN NITRATE mg/L,102648 NITROGEN NITRITE mg/L,102649 NITROGEN NO3 & NO2 mg/L,7602 NITROGEN TOTAL (CALCD.) mg/L,2009 NITROGEN TOTAL KJELDAHL (TKN) mg/L,106260 ODOUR APPARENT IN SAMPLE N/A,80558 OXYGEN DISSOLVED (FIELD METER) mg/L,5154 OXYGEN-18 IN WATER o/oo VSMOW,100923 PH (FIELD) pH units,10301 PH (LAB) pH units,2014 PHOSPHATE DISSOLVED ORTHO mg/L,2013 PHOSPHORUS TOTAL (P) mg/L,2010 PHOSPHORUS TOTAL DISSOLVED mg/L,101163 PHOTOSYNTHETICALLY ACTIVE RADIATION umol/s/m2,19111 POTASSIUM DISSOLVED/FILTERED mg/L,900038 REASON FOR MISSING SAMPLE N/A,2031 REDOX POTENTIAL mV,2005 RESIDUE NONFILTERABLE mg/L,48429 RHENIUM DISSOLVED ug/L,48411 RHENIUM TOTAL RECOVERABLE ug/L,2078 SECCHI DISK TRANSPARENCY m,103952 SELENIUM DISSOLVED ug/L,80044 SELENIUM TOTAL RECOVERABLE ug/L,14106 SILICA REACTIVE mg/L,103953 SILICON DISSOLVED mg/L,80045 SILICON TOTAL RECOVERABLE mg/L,103926 SILVER DISSOLVED ug/L,103998 SILVER TOTAL RECOVERABLE ug/L,"106267 SNOW DEPTH ON ICE, ESTIMATE m",11111 SODIUM DISSOLVED/FILTERED mg/L,100924 SPECIFIC CONDUCTANCE (FIELD) uS/cm,2041 SPECIFIC CONDUCTANCE (LAB) uS/cm,103955 STRONTIUM DISSOLVED ug/L,80047 STRONTIUM TOTAL RECOVERABLE ug/L,1599 SULPHATE DISSOLVED mg/L,125 SUM OF ANIONS meq/L,120 SUM OF CATIONS meq/L,97060 TEMPERATURE AIR deg C,100925 TEMPERATURE WATER deg C,103958 THALLIUM DISSOLVED ug/L,80053 THALLIUM TOTAL RECOVERABLE ug/L,103956 THORIUM DISSOLVED ug/L,80048 THORIUM TOTAL RECOVERABLE ug/L,103954 TIN DISSOLVED ug/L,80046 TIN TOTAL RECOVERABLE ug/L,103957 TITANIUM DISSOLVED ug/L,80049 TITANIUM TOTAL RECOVERABLE ug/L,201 TOTAL DISSOLVED SOLIDS (CALCD.) mg/L,97001 TOTAL WATER DEPTH m,106259 TURBIDITY (VISUAL) AT SITE N/A,103959 URANIUM DISSOLVED ug/L,80054 URANIUM TOTAL RECOVERABLE ug/L,103960 VANADIUM DISSOLVED ug/L,80055 VANADIUM TOTAL RECOVERABLE ug/L,103961 ZINC DISSOLVED ug/L,80056 ZINC TOTAL RECOVERABLE ug/L
ABS020,21SWE02864,SAS,BAT,05FD,1,AB05FD0380,"ARM LAKE, COMPOSITE",52.747830,-110.588450,0,13,133,N,"GPS: 52.74981, -110.58772. Wind: 9 km/h NW. Waves: 0.02 m. Calm day. Some comp sites were difficult to locate due to not having bath map. Check for the actual bath map when back in office. Very shallow lake in places and need to find comp sites just off of drops. Microcystin ID: M210084. Probe: 62981. Net: Tow",06/24/2021 09:30:00,,3.3,190,,,,0.038,,,,,,,,,220,,,,,,,,29,,41,,12,,3.9,2.3,4.5,,,20,,,1,,,8.2,,190,,L1,,1.7,L0.06,,,,,,,28,L0.004,,,,,0.1,,,,,,L0.003,L0.003,L0.0042,1.3,1.3,0,,,,8.46,,0.014,0.0035,,3.5,,,3,,,4.1,,,7,,,,,,9,,370,,,11,4.1,4.2,19,,,,,,,,,,200,14.3,1,,,,,,
ABS020,21SWE03091,SAS,BAT,05FD,1,AB05FD0380,"ARM LAKE, COMPOSITE",52.747830,-110.588450,0,13,133,N,"GPS: 52.74981, -110.58772. Wind: 18 km/h S. Waves:0.05 m. Relatively calm day. Wind pushed us multiple times during the profile reading. So had to back up the boat. Water is quite clear, no cyano observed. Microcystin ID: M210142. Probe: 62981. Net: Tow",07/14/2021 09:00:00,,6,190,,,,0.016,,,,,,,,,210,,,,,,,,28,,42,,7.4,,7.2,1.8,5,,,5,,,1,,,5.5,,190,,L1,,2.4,L0.06,,,,,,,28,L0.004,,,,,0.13,,,,,,0.003,L0.003,L0.0042,1.1,1.1,0,,,,8.46,,0.0073,L0.003,,3.8,,,1.2,,,2.75,,,9.2,,,,,,9.4,,390,,,12,4,4.2,22,,,,,,,,,,200,14.1,1,,,,,,
ABS020,21SWE03290,SAS,BAT,05FD,1,AB05FD0380,"ARM LAKE, COMPOSITE",52.747830,-110.588450,0,13,133,N,"GPS: 52.74981, -110.58772. Wind: 15 km/h NW. Waves: 0.1 m. Rick wants 2 copies of Arm Lake in colour. Beautiful morning. Very little activity on the lake. No cyanobacteria noted on the water surface, a few particles in samples. Microcystin ID: M210119. Probe: 62981. Net: Tow",08/12/2021 08:30:00,,L1,190,,,,L0.015,,,,,,,,,240,,,,,,,,25,,44,,14,,L1,2.9,5.4,,,0,,,2,,,4.2,,170,,L1,,5.5,L0.06,,,,,,,25,L0.004,,,,,0.15,,,,,,0.0062,L0.003,0.0062,1.3,1.3,0,,,,8.13,,0.01,L0.003,,3.4,,,2.5,,,2.1,,,9.7,,,,,,8.6,,380,,,12,4.2,3.8,15,,,,,,,,,,200,14.1,2,,,,,,
ABS020,21SWE03553,SAS,BAT,05FD,1,AB05FD0380,"ARM LAKE, COMPOSITE",52.747830,-110.588450,0,13,133,N,"GPS: 52.74981, -110.58772. Wind: 21 km/h SW. Waves: 0.1 m. Slightly gusty day on the lake. Wind blew us away from the profile location mulitple times. We backed up to the location and kept going with profile readings. Minimal cyanobacteria particles noted in the water. Microcystin ID: M210149. Probe: 62981. Net: Tow",09/01/2021 09:00:00,,2.9,190,,,,L0.015,,,,,,,,,220,,,,,,,,31,,44,,13,,3.4,2.7,5.8,,,50,,,2,,,6.4,,200,,L1,,6.2,L0.06,,,,,,,30,L0.004,,,,,0.14,,,,,,L0.003,L0.003,L0.0042,1.3,1.3,0,,,,8.42,,0.027,0.0031,,3.9,,,1.2,,,3.2,,,10,,,,,,11,,380,,,12,4.1,4.6,9,,,,,,,,,,210,14.05,1,,,,,,
ABS020,21SWE02865,SAS,BAT,05FD,1,AB05FD0370,"ARM LAKE, PROFILE",52.747830,-110.588450,0,1,122,N,,06/24/2021 08:50:00,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.28,,8.49,,,,,,,,365,,,,,,,,,,,,,,356.1,,,,,,,,20.99,,,,,,,,,,,,,,,,,
ABS020,21SWE02866,SAS,BAT,05FD,1,AB05FD0370,"ARM LAKE, PROFILE",52.747830,-110.588450,0,1,122,N,,06/24/2021 08:51:00,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.29,,8.52,,,,,,,,366,,,,,,,,,,,,,,356.1,,,,,,,,20.96,,,,,,,,,,,,,,,,,
ABS020,21SWE02867,SAS,BAT,05FD,1,AB05FD0370,"ARM LAKE, PROFILE",52.747830,-110.588450,0,1,122,N,,06/24/2021 08:52:00,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.31,,8.51,,,,,,,,366,,,,,,,,,,,,,,356.1,,,,,,,,20.94,,,,,,,,,,,,,,,,,
ABS020,21SWE02868,SAS,BAT,05FD,1,AB05FD0370,"ARM LAKE, PROFILE",52.747830,-110.588450,0,1,122,N,,06/24/2021 08:53:00,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.29,,8.51,,,,,,,,367,,,,,,,,,,,,,,355.8,,,,,,,,20.91,,,,,,,,,,,,,,,,,
ABS020,21SWE02869,SAS,BAT,05FD,1,AB05FD0370,"ARM LAKE, PROFILE",52.747830,-110.588450,0,1,122,N,,06/24/2021 08:54:00,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.26,,8.5,,,,,,,,367,,,,,,,,,,,,,,355.7,,,,,,,,20.87,,,,,,,,,,,,,,,,,
ABS020,21SWE02870,SAS,BAT,05FD,1,AB05FD0370,"ARM LAKE, PROFILE",52.747830,-110.588450,0,1,122,N,,06/24/2021 08:55:00,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.2,,8.5,,,,,,,,368,,,,,,,,,,,,,,355.7,,,,,,,,20.57,,,,,,,,,,,,,,,,,
